S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
11917,PUDUKKOTTA,Viralimalai,PANCHAYAT UNION MIDDLE SCHOOL. THENGAITHINNIPPATTY,"PUMS.THENGAITHINNIPATTI & PO, VIRALIMALAI-TK, PUDUKKOTTAI-DT",621316
11918,PUDUKKOTTA,Viralimalai,PANCHAYT UNION MIDDLE SCHOOL PILIPATTY,"pilippaty, Illupur tk",622102
11919,PUDUKKOTTA,Viralimalai,PANCHAYT UNION MIDDLE SCHOOL SERALAPATTI,SERALAPATTY VILLAGET.T.PATTY POST,621316
11920,PUDUKKOTTA,Viralimalai,"PARUMALA ST.GREGORIOS MATRIC  SCHOOL, MATHUR","MOUNT TABOR ,PARUMALA ST.GREGORIOS MATRIC
HR.SEC. SCHOOL, CHOKALINGAPURAM, MATHUR, PUDUKOTTAI.",622515
11921,PUDUKKOTTA,Viralimalai,PREMANANDA HIGH SCHOOL MELAPATCHKUDI,"Melapatchakudiviralimalai,Pudukkottai",621316
11922,PUDUKKOTTA,Viralimalai,"PROVIDENCE CONVENT MATRICULATION SCHOOL, VIRALIMALAI","keeranur road,viralimalaiThayagam Hospital, Near",621316
11923,PUDUKKOTTA,Viralimalai,SACRED HEART SCHOOL CBSE  MATHUR,"TRICHY-PUDUKKOTTAI MAIN ROAD,MATHUR POST,KULATHUR TALUK",622515
11924,PUDUKKOTTA,Viralimalai,SFS. PUBLIC SCHOOL,kunnathur roadnagamangalam,621316
11925,PUDUKKOTTA,Viralimalai,ST TERESA'S GIRLS HIGH SCHOOL VIRALIMALAI,ST. TERESA'S GHSVIRALIMALAI,621316
11926,PUDUKKOTTA,Viralimalai,ST.NORBERT R.C. MIDDLE SCHOOL. MATHUR,"ST.NORBERT RC MIDDLE SCHOOL MATHUR\KULATHUR TALUK,PUDUKOTTAI DIST",622515
11927,PUDUKKOTTA,Viralimalai,ST.THOMAS HIGHER SECONDARY SCHOOL NAZARETH,"NAZARETHKUNNATHUR POST, PUDUKOTTAI",621316
11928,PUDUKKOTTA,Viralimalai,VIVEGA MATRIC HIGHER SECONDARY SCHOOL. VIRALIMALAI,"EASWARI NAGAR, TRICHY MAIN ROAD, VIRALIMALAIPUDUKKOTTAI DIST",621316
11929,RAMANATHA PURAM,Bogalur,"BODHI VIDHYALAYA CBSE SCHOOL, SEYYALUR","R.K. Samy College Campus, Seyyalur (Village) Ettivayal (Post) Paramakudi (Taluk) Ramanathapuram (District) -",
11930,RAMANATHAP,Bogalur,"GOVERNMENT HIGH SCHOOL, S.KODIKULAM",S.KODIKULAM S.KODIKULAM POST,623527
11931,RAMANATHAP,Bogalur,"GOVERNMENT HIGH SCHOOL, SEVVOOR",Sevvoor\Mennanthi Post,623527
11932,RAMANATHAP,Bogalur,"GOVERNMENT HIGHER SECONDARY SCHOOL, KAMANKOTTAI",kallikottai streetkamankottai,623527
11933,RAMANATHAP,Bogalur,"GOVERNMENT HIGHER SECONDARY SCHOOL, MANJUR","Manjur, Pandikanmai (Po), Paramakudi (Taluk), Ramnad (Dist)",623527
11934,RAMANATHAP,Bogalur,"GOVERNMENT HIGHER SECONDARY SCHOOL, SATHIRAKUDI","MADURAI-RAMESWARAM ROAD, SATHIRAKUDI.",623527
11935,RAMANATHAP,Bogalur,"MEENATCHI MATRIC HIGHER SECONDARY SCHOOL, CHINNA EDAMBADAL","IDAMBADAL, MUTHUVAYAL (POST) SATHIRAKUDI, RAMANATHAPURAM - 623527",623527
11936,RAMANATHAP,Bogalur,"NADAR MAHAJANA SANGAM SERMATHAI VASAN HIGH SCHOOL, ARASADIVANDAL",MAIN ROAD ARASADIVANDAL AKKIRAMESSI POST RAMANATHAPURAM DIST,623705
