S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
20060,TIRUVALLUR,Poonamallee,GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL KAMARAJ NAGAR,"NO.10, MAIN ROAD, KAMARAJ NAGAR, AVADI",600071
20061,TIRUVALLUR,Poonamallee,GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL KEELMANAMBEDU,"T H ROAD, KEELMANAMBEDU",600124
20062,TIRUVALLUR,Poonamallee,GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL POONAMALLEE,"NO.5,BRADEE'S ROADPOONAMALLEE",600056
20063,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL BANAVEDU THOTTAM,"GOVT.HIGH SCHOOL,  BANAVEDUTHOTTAM, THANDURAI MAIN ROAD, PIDARITHANGAL,",600056
20064,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL GUDAPAKKAM,GOVERNMENT HIGH SCHOOLGUDAPAKKAM,600124
20065,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL KOTTAMEDU,kottambedukottambedu post,602024
20066,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL NAZARATHPET,"GOVT HIGH SCHOOL , BANGALORE HIGH ROAD,NAZARATHPETTAI",600123
20067,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL NEMILICHERY,CTH RoadMAINROAD,602024
20068,TIRUVALLUR,Poonamallee,GOVERNMENT HIGH SCHOOL SEMBARAMBAKKAM,"PADASALAI STREET, CHEMBARAMBAKKAMPADASALAI STREET, CHEMBARAMBAKKAM",600123
20069,TIRUVALLUR,Poonamallee,"GOVERNMENT HIGHER SECONDARY SCHOOL , SUNDARASOZHAVARAM","Sundara sozhavaram, thiruverkadu, chennai -77Sundara sozhavaram, thiruverkadu, chennai -77",600077
20070,TIRUVALLUR,Poonamallee,GOVERNMENT HIGHER SECONDARY SCHOOL FOR THE VISUALLY IMPAIRED POONAMALLEE,GOVERMENT HIGHER SECONDARY SCHOOL FOR THE BLINDP,600056
20071,TIRUVALLUR,Poonamallee,GOVERNMENT HIGHER SECONDARY SCHOOL KUTHAMBAKKAM THEN COLONY,PADUR MAIN ROAD\kuthambakkam,600124
20072,TIRUVALLUR,Poonamallee,GOVERNMENT HIGHER SECONDARY SCHOOL SENNEERKUPPAM,AVADI MAIN ROADSENNEERKUPPAM,600056
