S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
21896,TIRUVARUR,Kottur,"PUMS, IRULNEEKI",main road Irulneeki,614708
21897,TIRUVARUR,Kottur,"PUMS, KANTHARI",Main Road\KANTHARI,614705
21898,TIRUVARUR,Kottur,"PUMS, KARUPPUKILAR GANESAPURAM",pums karuppukilarkottur block,614708
21899,TIRUVARUR,Kottur,"PUMS, KEZHUVATHUR",Keluvathur Keluvathur,614705
21900,TIRUVARUR,Kottur,"PUMS, KUMARAMANGALAM",Rayanallur (po) mannargudi(tk),614715
21901,TIRUVARUR,Kottur,"PUMS, KUMARAMANGALAM",Rayanallur (po) mannargudi(tk),
21902,TIRUVARUR,Kottur,"PUMS, KUMMATTITHIDAL",Main Road Kummattithidal,614706
21903,TIRUVARUR,Kottur,"PUMS, KUNNIYUR",PUMSKUNNIYUR,614717
21904,TIRUVARUR,Kottur,"PUMS, KURICHI",Thalayamangalam[Po] Mannargudi [tk],614016
21905,TIRUVARUR,Kottur,"PUMS, KURICHI",Thalayamangalam[Po] Mannargudi [tk],
21906,TIRUVARUR,Kottur,"PUMS, MAHARAJAPURAM","water tank road,Maharajapurammaharajapuram",614017
21907,TIRUVARUR,Kottur,"PUMS, MANNUKUMUNDAN",mannukkumundan/perugavalnthan,614705
21908,TIRUVARUR,Kottur,"PUMS, MAVATTAKUDI",Main RoadMAVATTAKUDI,610206
21909,TIRUVARUR,Kottur,"PUMS, MELAKANDAMANGALAM",ADHICHAPURAM Po MANNARGUDI TK,614717
21910,TIRUVARUR,Kottur,"PUMS, MELANATHAM",p.u.m.s melanatham kottur block,614015
21911,TIRUVARUR,Kottur,"PUMS, NARUVALI KALAPPAL","MAIN ROAD, NARUVALI KALAPPAL",614710
21912,TIRUVARUR,Kottur,"PUMS, NOCHIYUR",sithamalli   post perugavazhndan,614705
21913,TIRUVARUR,Kottur,"PUMS, ORATHUR",main road \main road orathur,610717
21914,TIRUVARUR,Kottur,"PUMS, PAINGATTUR",PaingatturAdhichapuram p o,614717
21915,TIRUVARUR,Kottur,"PUMS, PERIYAKURUVADI",PeriyakuruvadiVadapathimangalam S O,610206
21916,TIRUVARUR,Kottur,"PUMS, PERUGAVALNTHAN",thiruvarur\tamilnadu,614705
21917,TIRUVARUR,Kottur,"PUMS, RENGANATHAPURAM",Kottur Tiruvarur,614717
21918,TIRUVARUR,Kottur,"PUMS, RENGANATHAPURAM",Kottur  Tiruvarur,
21919,TIRUVARUR,Kottur,"PUMS, SENTHANGUDI",MAIN ROAD\SENTHANGUDI,610206
21920,TIRUVARUR,Kottur,"PUMS, THIRUNELLIKAVAL",main roadthirunellikaval,610205
