S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
14841,TENKASI,Shenkottai,GOVERNMENT HIGHER SECONDARY SCHOOL SEEVANALLUR,"SENGOTTAI MAIN ROAD, SEEVANALLUR",627803
14842,TENKASI,Shenkottai,"GOVERNMENT HIGHER SECONDARY SCHOOL,PULIYARAI",QUILON MAIN ROADPULIYARAI,627813
14843,TENKASI,Shenkottai,GOVERNMENT MIDDLE SCHOOL ELATHUR,Sankara street\sankara street,627803
14844,TENKASI,Shenkottai,GOVERNMENT MIDDLE SCHOOL KAMBILI,GOVERNMENT MIDDLE SCHOOL  MAIN ROAD KAMBILY,627852
14845,TENKASI,Shenkottai,GOVERNMENT MIDDLE SCHOOL MEKKARAI,GOVT.MIDDLE.SCHOOl/MEKKARAI,627807
14846,TENKASI,Shenkottai,GOVERNMENT MIDDLE SCHOOL POOLANKUDIYIRUPPU,POOLANGUIYIRUPPUSHENCOTTAH TALUK,627813
14847,TENKASI,Shenkottai,"GOVERNMENT MIDDLE SCHOOL,KACHERI COMPOUND,SHENGOTTAI",TALUK OFFICE COMPOUNDSHENCOTTAI,627809
14848,TENKASI,Shenkottai,"GOVERNMENT MIDDLE SCHOOL,KARKUDI",GOVT MIDDLE SCHOOLKARKUDI,627813
14849,TENKASI,Shenkottai,"GOVERNMENT MIDDLE SCHOOL,THERKUMEDU",THERKUMEDUPULIYARAI P O,627813
14850,TENKASI,Shenkottai,"HINDU NADAR URAVIN MURAI COMMITTEE
DR.SIVANTHI ADITANAR MIDDLE SCHOOL SAMBAVAR VADAKARAI",poigai road\sambavar vadaakarai,627856
14851,TENKASI,Shenkottai,LAKSHMI HARIHARA HIGH SCHOOL ELATHUR,Shencottai Main RoadElathur,627803
14852,TENKASI,Shenkottai,"PULARI MATRICULATION SCHOOL,  PUDUR",Pudur - Puliyarai P.OSengottai,627813
14853,TENKASI,Shenkottai,PUNITHA ARULANANTHAR HIGHER SECONDARY SCHOOL AGARAKATTU,"D.NO:81, MAIN ROAD AGARAKATTU",627852
14854,TENKASI,Shenkottai,SHRIRAM VIDHYALAYA MATRIC HIGHER SECONDARY SCHOOL ELATHUR,636/3 TENKASI ROADELATHUR,627803
14855,TENKASI,Shenkottai,SIVA SARASWATHI VIDYALAYA HIGHER SECONDARY SCHOOL AYIKUDI,"10.2.163 AMAR SEVA SANGAM, AYIKUDY",627852
14856,TENKASI,Shenkottai,SPECTRUM MATRIC HIGHER SECONDARY SCHOOL KATHIRKANTHAM E-VILAKKU,NH 744KATHIRKANTHAN E- VILLAKU,627803
14857,TENKASI,Shenkottai,Sri Jayendra Vidyalaya Matric Higher Secondary School,"1,kottaram roadshengottai",627809
14858,TENKASI,Shenkottai,"Sri Moolam Sastiyaptha Poorthi Sattanatha Karayalar Government Boys Higher Secondary School, Shencottai","22/73, Gandhi RoadShencottai",627809
14859,TENKASI,Shenkottai,"SRI RAMA MANDIRAM GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL, Shengottai","5,KOTTARAM ROADSHENCOTTAI",627809
14860,TENKASI,Shenkottai,VANCHI GOVERNMENT MIDDLE SCHOOL SHENGOTTAI,VANCHINATHAN G.M.SSHENCOTTAI,627809
