S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
21284,TIRUVANNAM,Peranamallur,GHS NAMATHODU,TAVANI ROADVANDAVASI TALUK,632313
21285,TIRUVANNAM,Peranamallur,GHS VALLAM,govthighschoolvallamvallam,604505
21286,TIRUVANNAM,Peranamallur,GHS VAYALUR,ROAD STREET\VAYALUR,604501
21287,TIRUVANNA MALAI,Peranamallur,GHS VAYALUR,ROAD STREET VAYALUR,
21288,TIRUVANNAM,Peranamallur,GHSS MADAM,SCHOOL  STREET\CHETPET TALUK,604502
21289,TIRUVANNAM,Peranamallur,GHSS NEDUNGUNAM,"CHETPET - VANDAVASI MAIN ROADNEDUNGUNAM, CHETPET TALUK",606807
21290,TIRUVANNAM,Peranamallur,GHSS(BOYS) KOLAPPALUR,BAZAR STREET\KOLAPPALUR,632313
21291,TIRUVANNAM,Peranamallur,GHSS(BOYS) PERNAMALLUR,DHARMARAJA KOIL STREET\PERANAMALLUR,604503
21292,TIRUVANNAM,Peranamallur,GHSS(GIRLS) PERNAMALLUR,Dharamajaj kovil streetPeranamallur,604503
21293,TIRUVANNAM,Peranamallur,GHSS(GIRLS)-KOLLAPPALUR,Chitherivinayagar koil st Kolappalur,632313
21294,TIRUVANNAM,Peranamallur,PUMS ANAIBOGI,"PADASALAI STREET,ANAIBOGI,VALLAM POST
VANDAVASI TALUK, THIRUVANNAMALAI
RDOISATDRISCTT., ATANMATILHNIMADAUN.G60A4L5A05M, SEMMAMBADI POST,",604504
21295,TIRUVANNAM,Peranamallur,PUMS ANATHIMANGALAM,"CHETPET T.K.,TIRUVANNAMALAI DT ROAD ST., ANATHIMANGALAM, SEMMAMBADI POST, CHETPET",632311
21296,TIRUVANNAM,Peranamallur,PUMS ANMARUDAI,"PANCHAYAT UNION MIDDLE SCHOOL, ANMARUTHAI,VANDAVASI T.K",604504
21297,TIRUVANNAM,Peranamallur,PUMS ARASAMPATTU,Arasampattu & PostVia Nedungunam,606807
21298,TIRUVANNAM,Peranamallur,PUMS BAGAVANTHAPURAM,pillaiyar koil street bagavandhapuram village ragunathasamuthram post vandavasi t.k.,604503
21299,TIRUVANNAM,Peranamallur,PUMS KADAPPANDAL,"kadappandal village,kozappalur postchetpet taluk,thiruvannamalai dist",632313
21300,TIRUVANNAM,Peranamallur,PUMS KONAMANGALAM,PUMS KONAMANGALAMSEMMAMBADI POST CHETPET,632313
21301,TIRUVANNAM,Peranamallur,PUMS KOZHIPULIYUR,SCHOOL STREETMELACHERY POST,604502
21302,TIRUVANNAM,Peranamallur,PUMS -MELNANDIYAMBADI,PUMS MELNANDHIYAMBADIVEPPAMPATTU POST,606807
21303,TIRUVANNAM,Peranamallur,PUMS MELSATHAMANGALAM,"ROAD ST
MELSATHAMANGALAMARAYANAMANGALAM POST CHETPET  TALUK  THIRUVANNAMALAI DISTRICT",632313
21304,TIRUVANNAM,Peranamallur,PUMS NAMBEDU,"Panchayat Union Middle School, School Street,ambedu Village & Post, vandavasi taluk.",604505
21305,TIRUVANNAM,Peranamallur,PUMS SEMMAMBADI,"SEMMAMBADI POST\CHETPET TK, TIRUVANNAMALAI DT",632313
21306,TIRUVANNAM,Peranamallur,PUMS SEPTANGULAM,pums septangulam\vandavasi taluk,604503
21307,TIRUVANNAM,Peranamallur,PUMS THAVANI,"195MUTHUMARIYAMMAN KOIL STREET,RAGHUNATHASMUTHIRAM POST,THAVANI",604503
21308,TIRUVANNAM,Peranamallur,PUMS VILANALLUR,vilanallur village melnemili post  vandavasi taluk,604505
21309,TIRUVANNAM,Peranamallur,PUMS VINAYAGAPURAM,BRAMINAR STREETVINAYAGAPURAM,604504
21310,TIRUVANNAM,Peranamallur,RCM MIDDLE SCHOOL MOSAVADI,road street pernamallur block vandavasi t.k.,604503
21311,TIRUVANNAM,Peranamallur,SIDDHARTHA MATRIC HIGHER SECONDARY SCHOOL,"ARNI ROAD , PERANAMALLUR VANDAVASI (TK) THIRUVANNAMALAI(DIST)604503ARNI ROAD",604503
21312,TIRUVANNAM,Peranamallur,ST.PAULS MATRIC HIGHER SECONDARY SCHOOL - VAYALUR,VAYALUR VILLAGE\CHETPET TK,604501
21313,TIRUVANNAM,Peranamallur,SURAJ MATRICULATION HR SEC SCHOOL MELATHANGAL,CHETPET TO VANDAVASI MAIN ROADMELATHANGAL VILLAGE POST CHETPET TALUK,606807
21314,TIRUVANNAM,Peranamallur,SWAMY VIVEKANANDA MATRICULATION SCHOOL,"SWAMI VIVEKANANDA MATRICULATION
SCHOOL\ARANI MAIN ROAD,THENALAPIRANTHAN, AYALAVADI",604505
21315,TIRUVANNAM,Polur,ADWHS KALIYAM,Dr.AMBEDKAR STATUE NEARKALIYAM,606803
21316,TIRUVANNAM,Polur,ADWMS KELUR,ADWMS KELURPOLUR TALUK,606907
21317,TIRUVANNAM,Polur,AKSHAYA VIDHYA. MANDHIR MATRIC HIGHER SECONDARY SCHOOL VASUR,"C.C. ROAD, VASURPOLUR TALUK,THIRUVANNAMALAI DISTRICT",606803
21318,TIRUVANNAM,Polur,"ASIAN MATRICULATION SCHOOL, SENGUNAM","C.C ROAD, CHERAN NAGAR,SENGUNAM",606803
21319,TIRUVANNAM,Polur,AUXILIUM MATRIC,VENMANIPOLUR,606803
21320,TIRUVANNAM,Polur,DMMS POLUR,MALICK SAHIB STREETPOLUR,606803
21321,TIRUVANNAM,Polur,DON BOSCO HSS POLUR,"CHETPET ROAD, POLUR",606803
21322,TIRUVANNAM,Polur,ELANGO HS-KESAVAPURAM,Kesavapuram VillageKesavapuram Post Polur Tk,606905
21323,TIRUVANNAM,Polur,GHS KALASAMUDRAM,ROAD STREET GHS KALASAMUDRAM,632311
21324,TIRUVANNAM,Polur,GHS KANGEYANOOR,"PILLAIYAR KOIL STREET, KANGEYANOOR VILLAGE, TIRUVANNAMALAI DISTRICT",606803
21325,TIRUVANNAM,Polur,GHS KASTHAMBADI,"CHAVADI STREET,KASTHAMBADI",606903
21326,TIRUVANNAM,Polur,GHS PADIYAMBATTU,"ROAD STREET, PADIYAMPATTU, POLUR TK, TIRUVANNAMALAI DISTRICT. 606803",606803
21327,TIRUVANNAM,Polur,GHS PERIYAGARAM,PERIYAGARAM VILLAGE POLUR T.KTHIRUVANNAMALAI DIST,606803
21328,TIRUVANNAM,Polur,GHS PERUMALPETTAI,PERUMALPETTAI VILLAGE\ RAMANATHAPURAM POST POLUR TK,606905
21329,TIRUVANNAM,Polur,GHS POTHARAI,GHSPOTHARAI,606803
21330,TIRUVANNAM,Polur,GHS RAMANATHAPURAM,"RAMANATHAPURAM  ,POLUR T.K.         T.V.M-DT  606905.",606905
21331,TIRUVANNAM,Polur,GHS THURINJIKUPPAM,"Near omsakthi kovil, Athuvambadi post, Polur TK,Tiruvannamalai DT",606907
21332,TIRUVANNAM,Polur,GHS VELLUR II,GHS VELLUR 606905GHS VELLUR,606905
21333,TIRUVANNAM,Polur,GHS(GIRLS)-KELUR,"veera koil street,kelur",606907
21334,TIRUVANNAM,Polur,GHSS (BOYS) POLUR,"GANDHI ROAD , POLUR 606803",606803
21335,TIRUVANNAM,Polur,GHSS (GIRLS) KALAMBUR,DHARMARAJA KOIL BACK SIDEKALAMBUR,606903
21336,TIRUVANNAM,Polur,GHSS (GIRLS) POLUR,CC ROADPOLUR,606803
21337,TIRUVANNAM,Polur,GHSS ANANTHAPURAM,GHSS - ANANTHAPURAM POLUR(TK)THIRUVANNAMALAI(DT) ONNUPURAM (VIA),632315
21338,TIRUVANNAM,Polur,GHSS ATHIMOOR,ACHARI STREET TINDIVANAM VILLAGEATHIMOOR,606803
