SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
47,ARIYALUR,Andimadam,ST.ANNES MS KEELANEDUVAI,St Annes Middle SchoolKeezhaneduvai,621805,
48,ARIYALUR,Ariyalur,ADITYA BIRLA PUBLIC SCHOOL REDDIPALAYAM,THE ADITYA BIRLA PUBLIC SCHOOL REDDIPALAYAM (PO) ARIYALUR (DIST)TAMILNADU,621731,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
49,ARIYALUR,Ariyalur,AKILA BHARATHY MATRICULATION HIGH SCHOOL POYYUR,K POYYURK POYYUR,621707,
50,ARIYALUR,Ariyalur,ANNAI INDHIRA HIGH SCHOOL VILANGUDI,ANNAI INDHIRA HIGH SCHOOLBackside to PHC-vilangudi,621704,
51,ARIYALUR,Ariyalur,ARASUNAGAR MATRICULATION HIGHER SECONDARY SCHOOL ARIYALUR,ArasunagarKayarlabath,621729,
52,ARIYALUR,Ariyalur,CSI HSS ARIYALUR,99 MARKET STREET ARIYALUR,621704,
53,ARIYALUR,Ariyalur,GHS ARUNGAL,SATHYA NAGARARUNGAL,621707,
54,ARIYALUR,Ariyalur,GHS AYANATHUR,MAIN ROAD AYANATHUR,621705,
55,ARIYALUR,Ariyalur,GHS KATTUPRINGIUAM,JAYANKONDAM MAIN ROADKATTUPIRINGIYAM,621704,
56,ARIYALUR,Ariyalur,GHS MANAKKUDI,MANAKKUDIMANAKKUDI,621705,
57,ARIYALUR,Ariyalur,GHS NAGAMANGALAM,NAGAMANGALAM ARIYALUR TALUK AND DT,621701,
58,ARIYALUR,Ariyalur,GHS RAYAMPURAM,KEELARAYAMPURAMRAYAMPURAM,621718,
59,ARIYALUR,Ariyalur,GHS REDDIPALAYAM,TRICHY MAIN ROAD V KAIKATI REDDIPALAYAM,621704,
60,ARIYALUR,Ariyalur,GHS SALAYAKURICHI,OTTAKOVIL (PO) ARIYALUR (TK) & (DT),621705,
61,ARIYALUR,Ariyalur,GHS SIRUVALUR,NORTH STREET SCHOOL STREET,621704,
62,ARIYALUR,Ariyalur,GHS THAMARAIKULAM,Sendurai Main RoadThamaraikulam,621704,
63,ARIYALUR,Ariyalur,GHS THELUR,GOVT HIGH SCHOOLTHELUR,621704,
64,ARIYALUR,Ariyalur,GHS VELLUR,THE HEADMASTER GOVT HIGH SCHOOL VELLUR VELLUR POST ARIYALUR- TK & DT,621718,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
65,ARIYALUR,Ariyalur,GHS VELLUR,GOVT HIGH SCHOOL VELLUR VELLUR POST ARIYALUR- TK & DT,621704,
66,ARIYALUR,Ariyalur,GHS VILANGUDI,TRICHY MAIN ROAD VILANGUDIARIYALUR,621704,
67,ARIYALUR,Ariyalur,GHSS ARIYALUR,MARKET STREETARIYALUR,621704,
68,ARIYALUR,Ariyalur,GHSS GOVINTHAPURAM,Manakkal RoadGovindapuram,621713,
69,ARIYALUR,Ariyalur,GHSS K AMBAPUR,K AMBAPURKAVANUR POST,621704,
70,ARIYALUR,Ariyalur,GHSS MODEL SCHOOL ASITHINAPURAM,MAIN ROAD ASTHINAPURAM,621704,
71,ARIYALUR,Ariyalur,GHSS POYYATHANALLUR,SENDURAI MAIN ROADPOYYATHANALLUR,621704,
72,ARIYALUR,Ariyalur,GHSS SUNDAKUDI,SUNDAKKUDIARIYALUR(DT),621701,
73,ARIYALUR,Ariyalur,GOLDEN GATES GLOBAL SCHOOL,Voc St,,
74,ARIYALUR,Ariyalur,GOVT AIDED KRV MIDDLE SCHOOL LINGATHADIMEDU,KAYARLABATHLINGATHADIMEDU,621705,
75,ARIYALUR,Ariyalur,GOVT G HS ARIYALUR,MARKET STREETTRICHY MAIN ROAD ARIYALUR,621704,
76,ARIYALUR,Ariyalur,GOVT HR SEC SCHOOL KARU.POYYUR,TRICHY MAIN ROAD K POYYUR,621707,
77,ARIYALUR,Ariyalur,GOVT HR SEC SCHOOL PERIYATHIRUKONAM,PERIYATHIRUKKONAMPERIYATHIRUKKONAM,621701,
78,ARIYALUR,Ariyalur,GOVT MIDDLE ATHANUR,GOVT MIDDLE SCHOOLADHANUR,621701,
79,ARIYALUR,Ariyalur,KGBV SCHOOL- KARU SENAPATHY,KGBV KARUSENAPATHY,621707,
80,ARIYALUR,Ariyalur,MONTFORT MATRICULATION HIGHER SECONDARY SCHOOL ARIYALUR,MONTFORT MATRIC HR SEC SCHOOL RAJAJI NAGAR (VIA) ARIYALUR,621713,
81,ARIYALUR,Ariyalur,NALANDHA HR SEC SCHOOL RAYAMPURAM,Rayampuram post621718,621718,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
82,ARIYALUR,Ariyalur,NIRMALA (G) HSS ARIYALUR,MELA AGRAGARA TRICHY MAIN ROAD ARIYALUR,621704,
83,ARIYALUR,Ariyalur,NIRMALA MATRICULATION SCHOOL ARIYALUR,Nirmala Matric Hr Sec School Trichy main Road Ariyalur,621704,
84,ARIYALUR,Ariyalur,PARIVALLAL HSS NAGAMANGALAM,Muthuvancheery RoadNagamangalam Post,621701,
85,ARIYALUR,Ariyalur,PUMS AATHIKUDIKKADU,PANCHAYAT UNION MIDDLE SCHOOLAATHIKUDIKKAADU,621714,
86,ARIYALUR,Ariyalur,PUMS ANDIPATTAKADU,Andipattakadu Pungankuzhi postAmbapur via,621701,
87,ARIYALUR,Ariyalur,PUMS ASTHINAPURAM,PUMSASTHINAPURAM,621704,
88,ARIYALUR,Ariyalur,PUMS CHETTITHIRUKKONAM,P.U.M SCHOOL CHETTITHIRUKKONAM,621701,
89,ARIYALUR,Ariyalur,PUMS EDAYATHANKUDI,Panchayat Union Middle School Edayathankudi,621707,
90,ARIYALUR,Ariyalur,PUMS ELUPPAIYUR,ELUPPAIYUR POSTARIYALUR TK &DT,621718,
91,ARIYALUR,Ariyalur,PUMS KALLAKKUDI,MIDDLE STREET KALLAKKUDIP U M S KALLAKKUDI MIDDLE STREET/KALLAKKUDI,621707,
92,ARIYALUR,Ariyalur,PUMS KARU SENAPATHI,PUMS KARU SENAPATHI MELAKARUPPUR KEELAPALUR (VIA)ARIYALUR (T K) & (DT),621707,
93,ARIYALUR,Ariyalur,PUMS KARUVIDACHERY,PUMS KARUVIDAICHERY KEELAPALUVUR (PO),621707,
94,ARIYALUR,Ariyalur,PUMS MANNUZHI,P.U.M SCHOOL MANNUZHIPERIYANAGALUR PO,621704,
95,ARIYALUR,Ariyalur,PUMS MUNIYANKURICHY,Periyathirukkonam - PostAriyalur - Tk,621701,
96,ARIYALUR,Ariyalur,PUMS O KOTHUR,Panchayat union middle schoolO Koothur,621705,
