SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
180,ARIYALUR,Jayankondam,ST SEPASTIAN MIDDLE SCHOOL VIZHAPPALLAM,Vizhapallam Kallathur(via) Ariyalur(Dt),621803,
181,ARIYALUR,Sendurai,AIDED MID KUMIZHIYAM,NEAR MARIYAMMAN TEMPLEKUMIZHIYAM,621804,
182,ARIYALUR,Sendurai,AIDED MID NAGALKUZHI,east streetnagalkuzhi,621806,
183,ARIYALUR,Sendurai,AIDED MID SCH MUDUKULAM,AMS MUDUKULAM East street mudukulam adanakurichi (po) sendurai tk ariyalur dt,621719,
184,ARIYALUR,Sendurai,AIDED MID VEERAKKAN,VEERAKKAN PILAKURICHI POST ARIYALUR DISTRICT,621806,
185,ARIYALUR,Sendurai,ANNAI HIGH SCHOOL MARAKURICHI,Marakurichi Asaveerankudikkadu(po)Sendurai(Tk) Ariyalur (Dt),621719,
186,ARIYALUR,Sendurai,ARIGNAR ANNA HR SEC SCHOOL SENDURAI,JKM MAIN ROAD SEDAKUDIKADU POST,621710,
187,ARIYALUR,Sendurai,GHS ANGANUR,1 MAIN ROAD ANGANUR POST SENDURAI TK,621709,
188,ARIYALUR,Sendurai,GHS AYANTHATHANUR,AYANTHATHANUR (PO) SENDURAI (TK) ARIYALUR (DT),621709,
189,ARIYALUR,Sendurai,GHS NAMAGUNAM,Govt High Schoolnamangunam,621716,
190,ARIYALUR,Sendurai,GHS SANNASINALLUR,GOVT HIGH SCHOOL SANNASINALLUR 621730 SENDURAI TALUK ARIYALUR DIST,621730,
191,ARIYALUR,Sendurai,GHS-CHOLANKUDIKKADU,CHOLANKUDIKADUSENDURAI TK ARIYALUR DT,621709,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
192,ARIYALUR,Sendurai,GHS-MANAPATHUR,ghs manapathur sendurai tk ariyalur dt 621709GHS MANAPPATHUR,621709,
193,ARIYALUR,Sendurai,GHS-NALLAMPALAYAM,MAIN ROADNALLAMPALAYAM ARIYALUR DT,621714,
194,ARIYALUR,Sendurai,GHS-PERIYAKURICHI,MAIN ROAD' PERIYAKRICHI POST 621719,621719,
195,ARIYALUR,Sendurai,GHSS MODEL SCHOOL-SENDURAI,MAIN ROAD SENDURAI,621714,
196,ARIYALUR,Sendurai,GHSS-ANANDAVADI,GOVT HR SEC SCHOOLANANDAVADI,621718,
197,ARIYALUR,Sendurai,GHSS-DALAVOI,GHSS DalavoiGHSS Dalavoi,621730,
198,ARIYALUR,Sendurai,GHS-SIRUKADAMPUR,MARIYAMMAN KOVIL STREET SIRUKADAMBUR,621714,
199,ARIYALUR,Sendurai,GHSS-IRUMBULIKURUCHI,MAIN ROADIRUMBULIKURICHI PO,621804,
200,ARIYALUR,Sendurai,GHSS-KURUCHIKULAM,MAIN ROAD KURICHIKULAM,621719,
201,ARIYALUR,Sendurai,GHSS-PONPARAPPI,GHSS PONPARAPPI SENDURAI TK,621710,
202,ARIYALUR,Sendurai,GHSS-SENDURAI(GIRLS),SENDURAIARIYALUR DT,621714,
203,ARIYALUR,Sendurai,GHS-UNJINI,Peruvizhiyappa Temple street Unjini(po) Sendurai (tk) Ariyalur (Dt),621714,
204,ARIYALUR,Sendurai,GOVT HSS PARANAM,WEST STREETORTH PARANAM,621804,
205,ARIYALUR,Sendurai,GOVT HR SEC SCHOOL MULLUKKURICHI,GHSS MULLUKURICHIADHANAKURICHI POST,621719,
206,ARIYALUR,Sendurai,KALAIMAGAL-HR-SEC-SCHOOL-THULAR,KALAIMAGAL KALVI NAGARTHULAR PO SENDURAI TK,621719,
207,ARIYALUR,Sendurai,PUMS ALATHIYUR,PUM SCHOOL ALATHIYURSENDURAI TK ARIYALUR DT,621719,
208,ARIYALUR,Sendurai,PUMS CHOKKANATHAPURAM,CHOKKANATHAPURAMKADUR POST SENDURAI TK,621716,
,,,,,,
SNO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
209,ARIYALUR,Sendurai,PUMS KEELAMALIGAI,SENDURAIARIYALUR,621710,
210,ARIYALUR,Sendurai,PUMS KURICHIKULAM,COLONY STREET KURICHYKKULAMASAVEERANKUDIKADU PO SENDURAI TK,621719,
211,ARIYALUR,Sendurai,PUMS MANAKKUDAIYAN,PUMS MANAKKUDAIYAN SENDURAI TK ARIYALUR DTPUMS MANAKKUDAIYAN SENDURAI TK ARIYALUR DT,621719,
212,ARIYALUR,Sendurai,PUMS MARUVATHUR,MARUVATHUR POSENDURAI TK,621710,
213,ARIYALUR,Sendurai,PUMS MULLAIYUR,PUMS MULLAIYUR AYANTHATHANUR POST SENDURAI TK ARIYALUR DTMain road anganur sendurai tk ariyalur dt,621730,
214,ARIYALUR,Sendurai,PUMS NAKKAMBADI,PUMSNAKKAMBADI SENDURAI(PO)&(TK) 6217144/16 AN NANAGAR PON KUDIKADU,621710,
215,ARIYALUR,Sendurai,PUMS PALAYAKUDI,pums palayakudipalayakudi p o,621804,
216,ARIYALUR,Sendurai,PUMS PONPARAPPI COLONY,Gandhi nagarponparappi,621710,
217,ARIYALUR,Sendurai,PUMS PUDUPALAYAM,pums pudhupalayam2/171 main road ponparappi,621719,
218,ARIYALUR,Sendurai,PUMS PUDUPALAYAM,pums pudhupalayam,,
219,ARIYALUR,Sendurai,PUMS SIRUKALATHUR,sirukalathur postponparappi via,621710,
220,ARIYALUR,Sendurai,PUMS VANJINAPURAM,PUMS VANJINAPURAM VANJINAPURAM POST SENDURAI TK ARIYALUR DTKULUMUR SENDURAI TK ARIVALUR DT,621714,
221,ARIYALUR,Sendurai,RAMCO VIDYALAYA DALAVOI,Dalavai Sendurai Tk Ariyalur dt,,
222,ARIYALUR,Sendurai,ST PHILOMINAL HR SEC SCHOOL KULUMUR,KULUMUR POST SENDURAI TK ARIYALUR DT,621714,
223,ARIYALUR,Sendurai,ST THERESA MATRICULATION HIGHER SECONDARY SCHOOL SENDURAI,RAILWAY STATION ROAD SENDURAI SENDURAI TK ARIYALUR DT RAILWAY STATION STATION ROAD SENDURAI,621714,
224,ARIYALUR,Sendurai,TSN MATRICULATION SCHOOL DALAVOI,TSN MATRICULATION SCHOOL DALAVOI CEMENT NAGAR POST SENDURAI TK ARIYALUR DT,621730,
,,,,,,
S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE,
225,ARIYALUR,Sendurai,VETRIVINAYAGA HR SEC SCHOOL NALLAMPALAYAM,NALLAMPALAYAMSENDURAI (TK),621714,
226,ARIYALUR,Sendurai,VIDYA MANDIR MATRICULATION HIGHER SECONDARY SCHOOL ALATHIYUR,PAC RAMASAMY RAJA NAGARALATHIYUR,621730,
227,ARIYALUR,T.Palur,BHARATHA MATHA RC HR SEC SCHOOL NADUVALUR,HEAD MASTER BHARATHA MATHA R.C HR SEC. SCHOOL NADUVALURIT PALUR VIA,612904,
228,ARIYALUR,T.Palur,CHOCKALINGAM VEMBU AMMAL HIGH SCHOOL SRIPURANTHAN,492 East street Sripuranthan,621701,
229,ARIYALUR,T.Palur,GHS-GUNAMANGALAM,HEADMASTER GOVT HIGH SCHOOL GUNAMANGALAM POST,621701,
230,ARIYALUR,T.Palur,GHS-NAYAGANAIPRIYAL,SANNATHI ST NAYAGANAIPIRIYAL UDAYARPALLAYAM TK ARIYALUR DT,621804,
231,ARIYALUR,T.Palur,GHS-SATHAMBADI,HEADMASTER GHS SATHAMBADI MAIN ROAD SATHAMBADI POST.,621701,
232,ARIYALUR,T.Palur,GHS-SILAL,GHS SILAL,621802,
233,ARIYALUR,T.Palur,GHSS-KARAIKURICHI,MAIN ROADKARAIKURICHI,612904,
234,ARIYALUR,T.Palur,GHSS-KODALIKARUPPUR,HEADMASTER GHSS KODALIKARUPPUR MAIN ROAD KODALIKARUPPUR,612902,
235,ARIYALUR,T.Palur,GHSS-T.PALUR,HEAD MASTER GHSS T.PALUR MAIN ROAD T PALUR,612904,
236,ARIYALUR,T.Palur,GHSS-THIRUPURANTHAN,AGRAHARA STREETTHIRUPURANTHAN,621701,
237,ARIYALUR,T.Palur,GHSS-UDHAYANATHAM,HEADMASTER GHSS udayanatham Ariyalur district,612902,
238,ARIYALUR,T.Palur,GHSS-VIKKIRAMANGALAM,RAMAKRISHNAPILLAI THOTTAM SOUTH STREET VIKKIRAMANAGALAM,621704,
239,ARIYALUR,T.Palur,GHSS-Z.SUTHAMALLI,NORTH STREETSUTHAMALLI,621804,
240,ARIYALUR,T.Palur,GHS-TENKACHI PERUMAL NATHAM,HEADMASTER GHS THENKATCHIPERUMAL NATHAM MAIN ROAD THENKACHIPERUMALNATHAM,612904,
241,ARIYALUR,T.Palur,GHS-VENMANKONDAN,NORTH STVENMANKONDAN,621804,
