S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
6095,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, ATHIYUR",PANCHAYAT  UNION MIDDLE SCHOOL\ATHIYUR,638503
6096,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, ATHIYUR",PANCHAYAT  UNION MIDDLE SCHOOL ATHIYUR,
6097,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, EKKATHUR","PUMS,EKKATHUR,
BHASUVANAPURAM (PO)
PTUGMPSUKDAUDRAVGIA,NALLI,",638503
6098,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KADAGANALLI","KARALAYAM PO,T G PUDUR VIA, PSATNHCYHAMYATNHGAULNAIOMNTMAILDUDKL,EESRCOHDOEO-6L3, 8K5A03RALAYAM",638503
6099,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KARALAYAM","&PO
,SATHYAMANGALAM TALUK,ERODE DISTRICT",638503
6100,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KOMBAITHOTTI","PUMS KOMBAITHOTTI,KOOTHAMPALAYAM(POST)ERODE(DT)",638503
6101,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KONAMOOLAI",P.U.M.S.KONAMOOLAI,638402
6102,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KULLAMPALAYAM",kullampalayamarasur panchayad,638454
6103,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KUNDIPOMMANUR","PUPS Kundibommanur, Sathyamangalam, Erode",638402
6104,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, KURUMBUR","PUMS,KURUMBUR SATHYAMANGALAM",638503
6105,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, MALLIAMMANDURGAM",MALLIYAMMANDURGAM/ GUTHIYALATHUR,638503
6106,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, NANJAPPA GOUNEN PUDUR","PANCHAYAT UNION MIDDLE SCHOOL- N.G.PUDUR,SATHYAMANGALAM-638402",638402
6107,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, PALAYAKALAYANUR","Ariyappampalayam, sathyamangalam, Erode",638402
6108,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, PASUVAPALAYAM","PANCHAYAT UNION MIDDLE SCHOOL
PASUVAPALAYAM RAJAN NAGAR(PO), SATHY TK, ERODE DT, 638451",638451
6109,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, PAVALAKUTTAI","PUMS,pavalakuttai,pavalakuttai",638503
6110,ERODE,Sathiyamangalam,"PANCHAYAT UNION MIDDLE SCHOOL, PERIYASALATTI","PANCHAYAT UNION MIDDLE SCHOOL -
PERIYASALATTI, KADAMPUR (POST), D.G.PUDUR (VIA),
PSAUTMHSYRAAMMAANPGAAYLAALMU,RE,RROADMEA(DPtA) YALUR,",638503
